,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
2,怪力乱神,志水明,日本漫画,"东方神鬼,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8078.jpg,怪力乱神漫画 ，是人？是神？是妖？怪童向天怒吼「我是谁！！」 西曆167年；后汉末期，即是临近三国志时代的中国，有一个叫鰥的少年突然出现。他有一种异於常人力量，还将妖怪当做日常食粮。连他也想知道自己究竟是甚么人…鰥为了讨代与天为敌的东西而远行。以新视点去捕捉三国志的世界，真正的中国传奇动作漫画，向着天际傲翔！,已完结,http://www.ccdm13.com/manhua/12942/
3,Rave圣石小子,真岛浩,日本漫画,"冒险,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8080.jpg,Rave圣石小子漫画 ，远古时代，掌管古世界的邪恶魔石「DB」在现代的这个世界上，再度的苏醒了！！为了要拯救全人类，神明派了一位使者来到世上，而且是个能够使用圣石「RAVE」的少年！ 居住在车库岛的哈鲁，与姊姊凯特蕾雅一同过着平静的生活。但是自从偶然钓起一只不明生物——普鲁之后，身边便发生了一连串的事件。为了找寻真相，哈鲁决定离开小岛，前往未知的世界……,已完结,http://www.ccdm13.com/manhua/12941/
4,纯情房东俏房客,赤松健,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8115.jpg,纯情房东俏房客漫画 ，《Love Hina》(《纯情房东俏房客》)是在2000年末就开始在国内小有名气的一部漫画作品。《Love Hina》的热潮一直烧到了2001年的夏天，虽然国内漫友大多对它只有一个大概印象，至于动漫画本身是怎样的并不清楚，但是从“日本动画年度总排行”中可以看出，《Love Hina》作为上榜作品，成绩相当不俗(最佳动画作品奖中排行第六位，最佳TV版单话奖中最终话位列第七，男女主角浦岛景太郎、成濑川奈流也分别在最佳男女角色榜上获得了第12位、3位的好成绩)。,已完结,http://www.ccdm13.com/manhua/12937/
5,木莓园的魔女,宫城とおこ,日本漫画,"冒险,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8112.jpg,木莓园的魔女漫画 ，就读寄宿学校莲菲尔德女校的艾丽斯不小心与自称恶魔的少年缔结契约，成为服侍他的魔女！获得将人们的秘密实体化能力的艾丽斯，为了以秘密作为生存粮食的少年，开始收集秘密！可是，在此以前艾丽斯从未曾有过秘密！艾丽斯能从少女们身上收集到秘密吗！？,已完结,http://www.ccdm13.com/manhua/12934/
6,摔角少年牛蒡男,若杉公德,日本漫画,"搞笑,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8110.jpg,摔角少年牛蒡男漫画 ，若杉公德首部连载作品,已完结,http://www.ccdm13.com/manhua/12932/
7,海盗王,米原秀幸,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8108.jpg,海盗王漫画 ，同样以海盗寻宝为题材，《海霸王》里的法鲁空秘宝则饶富奇幻与科幻气息，相传法鲁空是从天而降的文明，拥有能变动所有物体的动力石，还有会变形的野兽，成为众海盗梦魅以求的宝藏。 除了宝藏以外，行事豪放不羁，创造神话传说的无敌船长，也是海盗作品的必备要素。故事里的巴兹船长，行事疯狂大胆，自有一套标准原则，视一般常识于无物，因而造就了他个人的传奇。 八岁的孤儿可可，是法鲁空文明的后裔，能操从幻兽，为了追随巴兹船长而上了海盗船「胜利女神号」，在追寻过程中，他的身世之谜也逐渐揭晓……,已完结,http://www.ccdm13.com/manhua/12930/
8,皇家国教骑士团,平野耕太,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8107.jpg,皇家国教骑士团漫画 ，故事延续著名的《吸血鬼德古拉》，HELLSING教授打倒了不死的德古拉之后，时间过了约100年，英国王立国教骑士团是专门歼灭对抗大英帝国和英国国教的反基督怪物的特殊机关，而其中的王牌是拿着常人无法使用的大口径手枪的吸血鬼阿尔卡特，在一次任务中转化了被狭持的女警西洛斯，之后两 皇家国教骑士团人就以主仆的关系进行任务。 　　但是潜伏在历史阴影中的敌人也正在重整旗鼓，一连串不寻常的人造吸血鬼肆虐事件指向了一个秘密的组织“千禧年”， 这个组织由躲藏在南美的纳粹残党所建立，在领导人少校的指挥之下，许多加入组织的党卫军老兵接受了改造成了不死的 吸血鬼军团“最后的大队”，另外，少校手下的“狼人部队”拥有超乎常识的超自然能力以及杀戮的意志，也成了相当恐怖的敌人。 　　他们的目标是：消灭阿尔卡特以及Hellsing，毁灭英国，将无尽的战火再度带到这世界上。 　　Hellsing不得已与平时在政教上为敌对关系，却又同为消灭异端怪物的机关，法王厅十三课合作。但是拥有强大军团的 法王厅却有着自己的打算，使得情形更加复杂。 皇家国教骑士团此时，最后的大队以及狼人部队终于对伦敦发动歼灭战，潜伏的吸血鬼支持者也倾巢而出。英国各处死伤惨重，Hellsing也元气大伤，法王厅十三课课长马克斯威尔趁机发动第九次十字军登陆战，企图作收渔翁之利，让国教徒永远从英国消失。英国女王也宣布在最后手段下，将动用核武攻击已为死城的伦敦。 　　在阿尔卡特发动死河之后，最后的大队以及十字军迅速溃败，法王厅十三课也近乎毁灭。血腥的黎明来到之前，三方的战力已剩下最后的底牌，然而少校似乎有着更大的阴谋…… 　　这场地狱之战中，谁会是最后一个活下来的人？,已完结,http://www.ccdm13.com/manhua/12929/
9,新天地无用!魉皇鬼,奥田人志&梶岛正树,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8104.jpg,新天地无用!魉皇鬼漫画 ，为了安慰辛苦的天地，魉呼一行人决定做出蒲烧鳗这道可口又滋补的料理送给天地品尝。但是这回她们要抓的可不是一般的鳗鱼，而是库洛克星的15m巨大鳗鱼，再加上魉呼还用上了鹫羽发明的‘成长促进枪’，结果……！？,已完结,http://www.ccdm13.com/manhua/12926/
10,海皇纪,川原正敏,日本漫画,"历史,战争,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8103.jpg,海皇纪漫画 ，在边境的港都出现一位渥尔韩的新王──卡萨尔．夏龙。在上船前，他突然遭刺客袭击！替新王解围的是传说中的军师──拓班．沙诺与神秘男子──风．刚马备前。自此以後，这两个谜一样的男子，就开始了在大海的冒险旅程！凭著沙诺的惊人智慧，与风无人能及的剑术和领导才能，能否克服海洋的变幻莫测与接踵而至的挑战，纵横四海？,已完结,http://www.ccdm13.com/manhua/12925/
11,铳梦,木城雪户,日本漫画,"格斗,科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8137.jpg,铳梦漫画 ，在阴霾的天空下，是人命如草芥的废铁镇。而在云霄之上，则是被视为乐土的扎雷姆。伊德在废铁之中拾起了一个残缺不全的少女机器人，他赋予了她全新的生命，并为她取名为凯丽。随着时间的流逝，凯丽用自己的眼睛观察并用心灵诠释着这个充满绝望的世界，并如同手中的那把大马士革钢刀一样坚韧不拔的生活着……,已完结,http://www.ccdm13.com/manhua/12919/
12,蜜糖公主,中条比纱也,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8134.jpg,蜜糖公主漫画 ，平凡女孩麻绫去滑冰场被人找去学滑冰，她看到俱乐部生旬的美丽滑冰舞姿，决定学花式滑冰？盼望发光发亮的女孩！在滑冰场上飞舞甜蜜罗曼史！,已完结,http://www.ccdm13.com/manhua/12917/
13,蔷薇魔女,望月淳,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8132.jpg,蔷薇魔女漫画 ，被称为蔷薇魔女的小小少女克劳蒂亚，缠绕在她身上的荆棘是鲜红的热情？还是闇黑的背叛？一切的真相，将在各位读者的心中放盛开的花朵！,已完结,http://www.ccdm13.com/manhua/12915/
14,魔力女管家,中山文十郎,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8131.jpg,魔力女管家漫画 ，太白星与圣者间一直进行长久的战斗，优的父亲也在一次战斗中战死，而凶手竟然是…… 优想请女佣来打点一下自己的生活，但在公车中遇到劫匪，幸得麻幌相助而得救。而且另优意外的是，应征做女佣的就是麻幌…… 在家务和生活上，麻幌处理得无微不至，而优也为这二人生活感到满意，更逐渐对麻幌有意思。但式条老师对此很嫉妒，不过在不断地阻挠中反而使他们的感情增加。作为机器人的麻幌开始对自己的初衷质疑，因为她对优也产生了微妙的感情。 幸福的生活直到流河的出现而蒙上阴影。在觉察到不安后优开始觉得流河和麻幌间有隐密的敌意，为了优而答应流河挑战的麻幌，向优作出约会邀请，不过…… 阿优和麻幌看似平静的生活因为炸弹事件而引发了一阵小小涟漪－－从未经历过学生生活的麻幌这次化身为女子中学的学生、潜入校园拆除炸弹，在犯人的暗示下，虽然炸弹得以顺利拆除，但却在最后一刻有了意想不到的大转变！？阿优与麻幌该如何解决眼前的危机呢？ 叛逃的机器人370，其实是准备被处理掉的瑕疵品。幸好在途中遇到了麻幌和阿优收留她，于是370就这样以麻幌的妹妹「珊琦」的身分，和他们一起生活。而首次感受到人类温暖的珊琦，也很喜欢这样的生活。只是面对这群友善的人们，珊琦不禁对自己来到这里的真正目的，感到不安…,已完结,http://www.ccdm13.com/manhua/12914/
15,终极佣兵,浦泽直树,日本漫画,"冒险,战争,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8127.jpg,终极佣兵漫画 ，杰特豪士现时是民间军事援助组织CMA的会员，但其实在战争期间，他是一个出色的军人。战后，豪士接受有需要者的委讬，不是当他们的保镳，郤是帮助训练他们，在短期内成为出色的军人，好去面对凶恶的敌人。而在豪士军人的一面以外，他郤仍保留人性的正义与善良的心。,已完结,http://www.ccdm13.com/manhua/12910/
16,毒伯爵该隐,由贵香织里,日本漫画,"恐怖,悬疑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8123.jpg,毒伯爵该隐漫画 ，“你的过去与未来都是一片黑暗，那是没有结果的迷宫……王者站在尸堆中……永远的彷徨”。 年少的伯爵拥有一双金绿色的眼眸---而那便是有罪的证明。背负着古老家族的哀荣，该隐·C·哈利斯在十二岁便继承了伯爵的爵位，过着衣食无忧的生活。现年十七岁的该隐常常身着黑衣，英俊、优雅，似乎很符合人们对于贵族的印象。然而他却有一个人尽皆知的诡异兴趣--收集毒药。他家的地下室里，摆放着一柜又一柜的不同毒药，而该隐本人也常为了收集，实验更多品种的毒药外出找人试验。当然，有谁因此送命的话，绝对是他们咎由自取。该隐（cain），那是第一个杀死自己亲人的人类的名字，也叫“神之子”。,已完结,http://www.ccdm13.com/manhua/12906/
17,神乎其技特效化妆师,金城阳三郎&薮口黑子,日本漫画,"冒险,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8122.jpg,神乎其技特效化妆师漫画 ，永濑公平乍看之下是个一般的特效化妆师，但其实他可是个拥有高超化妆技术的特效化妆师，能够画出许多好莱坞级的特效 !! 并且运用特效帮助有困难的人渡过难关。精采的特效化妆技巧，让人大呼过瘾 !!,已完结,http://www.ccdm13.com/manhua/12905/
18,烈火之炎,安西信行,日本漫画,"冒险,热血,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8121.jpg,烈火之炎漫画 ，故事是叙述一个名叫花菱烈火的高中生，从小就具有操控火的力量，直到某一天他遇见他的母亲阳炎，他才知道自己原来是四百多年前的火影忍者一族。火影忍者中的首领都具有操控火的力量，并且拥有很多神奇的魔道具，而烈火就具有首领的血统。四百多年前，织田信长要攻打火影忍者，当時的第六代首领樱火，也就是烈火的父亲，为了防止这些威力强大的魔道具被敌人抢走，因此决定不用魔道具作战，結果全军覆沒。阳炎为了保护唯一的儿子——烈火，于是使用了被视为禁法的火影秘术——時空流离，将烈火传送到现代來，巧的是他同父异母的哥哥——红丽也被传送走了。阳炎在用了这个禁法后，便会遭到永恒的诅咒，困在时空中，永远不会死亡，她就这样活了四百多年，历经各个时代，找寻自己的孩子——烈火。四百多年后的今天，烈火、阳炎、红丽在偶然的机会下相遇了，从此开始了一连串的故事...,已完结,http://www.ccdm13.com/manhua/12904/
19,魅影巨神,有贺ヒトシ,日本漫画,"科幻,机战,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8120.jpg,"魅影巨神漫画 ，模范城在四十年前的一场事件中，所有人都失去了记忆。虽然没有过去的人们凭著自己力量，还是能活下去，但有些人仍对记忆耿耿於怀，或是在偶然之间恢復记忆。罗杰 ?史密斯，是这混乱城市中最顶尖的谈判专家，平时负责调解纠纷，当MEGADEATH(MEGADEUS,巨大机器人)来袭时，罗杰便会坐上「BIG-O」作战。 一日，罗杰接下了一个绑票案的谈判工作，却发现人质是个机器人，谈判破裂之后，这机器人还请求罗杰保护。紧接著，城里接连出现了MEGADEATH，在一场场战斗之后，四十年前的真相渐渐浮出了水面...",已完结,http://www.ccdm13.com/manhua/12903/
20,杀戮战场,田中亚希夫,日本漫画,"战争,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8118.jpg,杀戮战场漫画 ，田中亚希夫短篇集,已完结,http://www.ccdm13.com/manhua/12901/
21,料理复活王,土山茂,日本漫画,"竞技,美食,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8156.jpg,料理复活王漫画 ，一手无敌的厨艺，过着游侠一般的生活，不只是令人满足口腹之慾，但叫人吃後必然毕生难忘！世上糟透的厨师、不负责任的厨师、马马虎虎的理料人，只要遇上了他，必要重新振作起来！,已完结,http://www.ccdm13.com/manhua/12899/
22,怪医启示录,衣谷游&大冢英志,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8152.jpg,怪医启示录漫画 ，《AMON恶魔人启示录》作者衣谷游又一惊世之作，巨兽Leviathan降临，世界末日已是近在咫尺……大战过后，一队由5名不同国籍的医生组成的医疗小组行踪不明，只有一个谜样的日本男人奇迹似的复活……他拥有精湛的医术，不单止可以医治人类的疾病，更可以消灭潜伏起来的神秘生物！,已完结,http://www.ccdm13.com/manhua/12895/
23,钢铁神兵Btx,车田正美,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8151.jpg,钢铁神兵Btx漫画 ，高宫铁兵在幼时就与大哥钢太郎约定，要靠自己的力量成为光亮闪耀的男子汉。五年后，企图以科技征服世界的邪恶组织—机国，绑架了天才科学家高宫钢太郎；铁兵为了救出大哥而遇见了传说中的B'T—X，成为新的主人，紧接着与机械皇国展开了壮烈的战斗。在此同时，继皇国西之灵将华莲之后，南方的凤、东方的龙、北方的北斗等灵将，也为澄清对机械皇帝的疑虑而起来反抗皇国。但是钢太郎针对机械皇国所创出的终极B'T拉法尔，想找出其弱点的努力只是白费力气，拉法尔已经发展成能全地球的可怕怪物了……,已完结,http://www.ccdm13.com/manhua/12894/
24,武器种族传说,东麻由美,日本漫画,"魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8150.jpg,"武器种族传说漫画 ，空贼团""红山猫""的少年库多-杰尔埃特,因为一个偶然的机会,遇到了被封印在古老的箱子中的少女莱温莉-美莎兰斯,她正是一个艾迪莱特的族人.从长眠中苏醒的莱温莉说要去富饶和繁荣之地艾迪尔加泰找寻族人遗留下的最强武器,对她颇有兴趣的库多也决定同行.另一方面，保护艾迪莱特族的协会(圣战天使保护协会?)阿科艾尔的成员西丝卡、罗文,以及协会所属的艾迪莱特族的吉亚三人也要护送莱温莉.于是,库多、莱温莉再加上来自阿科艾尔的三个人,开始了这看上去颇为壮大但荒唐事不断的冒险之旅......",已完结,http://www.ccdm13.com/manhua/12893/
